timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1666086266911,21267,ShopPage,200,OK,Thread Group 1-3,text,false,"The operation lasted too long: It took 21,267 milliseconds, but should not have lasted longer than 1,200 milliseconds.",216243,121,17,17,https://puzzlebazaarbd.com/shop/,8425,0,0
1666086288181,5,AboutPage,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: puzzlebazaarbd.com:443 failed to respond,Thread Group 1-3,text,false,,2100,0,17,17,https://puzzlebazaarbd.com/about-us/,0,0,0
1666086265519,23359,HomePage,200,OK,Thread Group 1-19,text,false,"The operation lasted too long: It took 23,359 milliseconds, but should not have lasted longer than 1,200 milliseconds.",385941,116,16,16,https://puzzlebazaarbd.com/,8274,0,660
1666086264520,24589,HomePage,200,OK,Thread Group 1-17,text,false,"The operation lasted too long: It took 24,589 milliseconds, but should not have lasted longer than 1,200 milliseconds.",385941,116,16,16,https://puzzlebazaarbd.com/,7481,0,670
1666086279858,9642,ShopPage,200,OK,Thread Group 1-13,text,false,"The operation lasted too long: It took 9,642 milliseconds, but should not have lasted longer than 1,200 milliseconds.",216248,121,16,16,https://puzzlebazaarbd.com/shop/,989,0,0
1666086269046,20483,ShopPage,200,OK,Thread Group 1-7,text,false,"The operation lasted too long: It took 20,483 milliseconds, but should not have lasted longer than 1,200 milliseconds.",216230,121,16,16,https://puzzlebazaarbd.com/shop/,8610,0,0
1666086265070,24817,HomePage,200,OK,Thread Group 1-18,text,false,"The operation lasted too long: It took 24,817 milliseconds, but should not have lasted longer than 1,200 milliseconds.",385953,116,16,16,https://puzzlebazaarbd.com/,9127,0,637
1666086266029,24423,HomePage,200,OK,Thread Group 1-20,text,false,"The operation lasted too long: It took 24,423 milliseconds, but should not have lasted longer than 1,200 milliseconds.",385945,116,16,16,https://puzzlebazaarbd.com/,10464,0,669
1666086279586,11034,ShopPage,200,OK,Thread Group 1-11,text,false,"The operation lasted too long: It took 11,034 milliseconds, but should not have lasted longer than 1,200 milliseconds.",216203,121,16,16,https://puzzlebazaarbd.com/shop/,978,0,0
1666086287245,3458,AboutPage,200,OK,Thread Group 1-8,text,false,"The operation lasted too long: It took 3,458 milliseconds, but should not have lasted longer than 1,200 milliseconds.",132289,125,16,16,https://puzzlebazaarbd.com/about-us/,946,0,0
1666086287655,3565,AboutPage,200,OK,Thread Group 1-9,text,false,"The operation lasted too long: It took 3,565 milliseconds, but should not have lasted longer than 1,200 milliseconds.",132314,125,15,15,https://puzzlebazaarbd.com/about-us/,1530,0,0
1666086283519,8129,ShopPage,200,OK,Thread Group 1-14,text,false,"The operation lasted too long: It took 8,129 milliseconds, but should not have lasted longer than 1,200 milliseconds.",216197,121,14,14,https://puzzlebazaarbd.com/shop/,866,0,0
1666086286658,5430,ShopPage,200,OK,Thread Group 1-16,text,false,"The operation lasted too long: It took 5,430 milliseconds, but should not have lasted longer than 1,200 milliseconds.",216204,121,14,14,https://puzzlebazaarbd.com/shop/,881,0,0
1666086287706,4612,AboutPage,200,OK,Thread Group 1-6,text,false,"The operation lasted too long: It took 4,612 milliseconds, but should not have lasted longer than 1,200 milliseconds.",132326,125,14,14,https://puzzlebazaarbd.com/about-us/,1679,0,0
1666086281182,11294,AboutPage,200,OK,Thread Group 1-5,text,false,"The operation lasted too long: It took 11,294 milliseconds, but should not have lasted longer than 1,200 milliseconds.",132308,125,13,13,https://puzzlebazaarbd.com/about-us/,933,0,0
1666086288156,4623,AboutPage,200,OK,Thread Group 1-12,text,false,"The operation lasted too long: It took 4,623 milliseconds, but should not have lasted longer than 1,200 milliseconds.",132314,125,12,12,https://puzzlebazaarbd.com/about-us/,2148,0,0
1666086285622,7462,ShopPage,200,OK,Thread Group 1-10,text,false,"The operation lasted too long: It took 7,462 milliseconds, but should not have lasted longer than 1,200 milliseconds.",216185,121,11,11,https://puzzlebazaarbd.com/shop/,907,0,0
1666086289110,4941,ShopPage,200,OK,Thread Group 1-17,text,false,"The operation lasted too long: It took 4,941 milliseconds, but should not have lasted longer than 1,200 milliseconds.",216209,121,11,11,https://puzzlebazaarbd.com/shop/,2732,0,0
1666086290621,4771,AboutPage,200,OK,Thread Group 1-11,text,false,"The operation lasted too long: It took 4,771 milliseconds, but should not have lasted longer than 1,200 milliseconds.",132326,125,11,11,https://puzzlebazaarbd.com/about-us/,2959,0,0
1666086289501,6232,AboutPage,200,OK,Thread Group 1-13,text,false,"The operation lasted too long: It took 6,232 milliseconds, but should not have lasted longer than 1,200 milliseconds.",132326,125,10,10,https://puzzlebazaarbd.com/about-us/,2942,0,0
1666086289532,6681,AboutPage,200,OK,Thread Group 1-7,text,false,"The operation lasted too long: It took 6,681 milliseconds, but should not have lasted longer than 1,200 milliseconds.",132326,125,9,9,https://puzzlebazaarbd.com/about-us/,2817,0,0
1666086291651,4633,AboutPage,200,OK,Thread Group 1-14,text,false,"The operation lasted too long: It took 4,633 milliseconds, but should not have lasted longer than 1,200 milliseconds.",132326,125,8,8,https://puzzlebazaarbd.com/about-us/,2467,0,0
1666086288134,8394,ShopPage,200,OK,Thread Group 1-15,text,false,"The operation lasted too long: It took 8,394 milliseconds, but should not have lasted longer than 1,200 milliseconds.",216197,121,7,7,https://puzzlebazaarbd.com/shop/,1845,0,0
1666086292089,5009,AboutPage,200,OK,Thread Group 1-16,text,false,"The operation lasted too long: It took 5,009 milliseconds, but should not have lasted longer than 1,200 milliseconds.",132295,125,7,7,https://puzzlebazaarbd.com/about-us/,2301,0,0
1666086288880,8437,ShopPage,200,OK,Thread Group 1-19,text,false,"The operation lasted too long: It took 8,437 milliseconds, but should not have lasted longer than 1,200 milliseconds.",216204,121,6,6,https://puzzlebazaarbd.com/shop/,2663,0,0
1666086290454,6992,ShopPage,200,OK,Thread Group 1-20,text,false,"The operation lasted too long: It took 6,992 milliseconds, but should not have lasted longer than 1,200 milliseconds.",216204,121,6,6,https://puzzlebazaarbd.com/shop/,2809,0,0
1666086293086,4580,AboutPage,200,OK,Thread Group 1-10,text,false,"The operation lasted too long: It took 4,580 milliseconds, but should not have lasted longer than 1,200 milliseconds.",132320,125,6,6,https://puzzlebazaarbd.com/about-us/,1635,0,0
1666086294052,4342,AboutPage,200,OK,Thread Group 1-17,text,false,"The operation lasted too long: It took 4,342 milliseconds, but should not have lasted longer than 1,200 milliseconds.",132326,125,5,5,https://puzzlebazaarbd.com/about-us/,1936,0,0
1666086296529,2892,AboutPage,200,OK,Thread Group 1-15,text,false,"The operation lasted too long: It took 2,892 milliseconds, but should not have lasted longer than 1,200 milliseconds.",132289,125,4,4,https://puzzlebazaarbd.com/about-us/,791,0,0
1666086289888,9540,ShopPage,200,OK,Thread Group 1-18,text,false,"The operation lasted too long: It took 9,540 milliseconds, but should not have lasted longer than 1,200 milliseconds.",216204,121,3,3,https://puzzlebazaarbd.com/shop/,3115,0,0
1666086297319,2807,AboutPage,200,OK,Thread Group 1-19,text,false,"The operation lasted too long: It took 2,807 milliseconds, but should not have lasted longer than 1,200 milliseconds.",132295,125,3,3,https://puzzlebazaarbd.com/about-us/,920,0,0
1666086297447,2773,AboutPage,200,OK,Thread Group 1-20,text,false,"The operation lasted too long: It took 2,773 milliseconds, but should not have lasted longer than 1,200 milliseconds.",132301,125,2,2,https://puzzlebazaarbd.com/about-us/,939,0,0
1666086299430,2281,AboutPage,200,OK,Thread Group 1-18,text,false,"The operation lasted too long: It took 2,281 milliseconds, but should not have lasted longer than 1,200 milliseconds.",132283,125,1,1,https://puzzlebazaarbd.com/about-us/,796,0,0
